Date of stay: September 2022,50,We enjoyed pur stay at the lantern bar. Julius Tallano who is one of the staff is very accommodating and polite. He even guided us in ordering one the best and unique drinks that i have ever tasted. We will surely recommend lantern bar as a place to visit
Date of stay: August 2022,50,"Stunning hotel, backed up by outstanding service. The construction and interior design of the Fullerton Bay make it a unique place to stay. The marina location is as central as it gets and the view across the water to MBS is a great one. We stayed in a third floor corner room, which was high spec and with views of the water on two sides. The rooftop pool is a special area for spending time in central Singapore. The Lantern bar is a great vantage point for evening drinks and watching the light show. The hotel feels more relaxed and less touristy than MBS (which works at MBS, not a slight on that experience- certainly also worth checking out). We stayed with our twenty two month old daughter for two nights. Service was exceptionally good and welcoming, though perhaps the vibe is better suited to families at Shangri-La. Two nights at the end of our trip were memorable and we thoroughly enjoyed our stay. Alvin the butler and Indra on reception were particularly helpful, nothing was too much trouble- very welcome when travelling with a toddler and much appreciated. All their colleagues were also very kind. Perhaps best recommended for couples who want a more chilled, but high-end, boutique experience. Five star review an easy decision."
Date of stay: September 2022,50,Had a great time at Lantern! Great ambience! Awesome food! Splendid service from Daniel! Thank you so much for the complimentray birthday cake too! Will definitely revisit! Love the view and the choice of music played!
Date of stay: September 2022,40,Thanks for the birthday cake and fun customer service from daniel😊 he had been fun and entertaining and accommodated to our request for the night. Ambience was good and chilling. Thansk once again for the memorable experience.
Date of stay: September 2022,50,I visited here for my bday celebration w my family. It has nice view w great cocktails. Daniel assisted us in professional manner. I definitely will visit again. Highly recommend this place to everyone!
Date of stay: September 2022,50,The Lanter team made us feel like at home. We couldn’t ask for more they were super attentive to the tiniest detail we couldn’t ask for more. Julius made sure we weee well taken care of the whole night. We will definitely be back.
Date of stay: September 2022,50,"Everything was perfect from my call to book a table and Alan helping with mum’s bday surprise to JJ, Dinesh and team during the relaxing lunch at La Brasserie. Even the medium Ribeye was so tender and desserts were great! Best ondeh cake I’ve had! Thank you for accommodating my family’s needs and for the beautiful bday surprise! Just lovely!"
Date of stay: September 2022,50,"We came for afternoon tea for birthday celebration. Service was excellent. Lotha who served us was attentive and checked in with us a couple of times. Food was decent, but felt that there were too many sweets with rather repetitive flavour profiles. The ambience and setting was comfortable and relaxing."
Date of stay: September 2022,50,"The hotel is beautiful and the room was clean and bright, with an incredible view. But it was the exceptional service provided that made our stay extremely pleasant and comfortable.  Every staff member with whom we came in contact with was polite and professional. However, there are five staff members that were so impressive in their service that we will definitely return to the hotel again.  Every morning, we were greeted so warmly by Ms. Lotha Dimaano at La Brasserie. She was extremely attentive and kind, and always has a smile on her face when speaking to us. She is truly exceptional.  Ms. Connie Leow was very attentive to our dining needs, and never failed to say “Enjoy your meal” whenever she served us.  Ms. Grace Sng graciously gave us an overview of the different pastries offered at the breakfast buffet, and we enjoyed eating the delicious pastries which we wouldn’t have tried if not for her.  Your concierges, Mr. Taufik Samadi and Mr. Azlee, are extremely friendly and would always greet us warmly and ask us how our day was. It was truly delightful whenever we see them.  We had a wonderful two week stay, and I have recommended the hotel to all of my colleagues, friends and family. Thank you again for such outstanding service."
Date of stay: September 2022,50,"Very thankful for the team (Lotha, Karen, Kate, HuiXia, Benson and Anthony) for accommodating our walk in request without any reservations.  We would also like to thank the Chef Team for putting together our Expressions Afternoon Tea set at the last minute as well.  The restaurant has a very nice atmosphere and service is impeccable. Thank you once again!"
